Date,price
1986-12-04,0.1044606566429138
1986-12-05,0.1039304733276367
1986-12-08,0.1028699353337287
1986-12-09,0.102339781820774
1986-12-10,0.1031350344419479
1986-12-11,0.1039304733276367
1986-12-12,0.1002188622951507
1986-12-15,0.097567118704319
1986-12-16,0.0986275523900985
1986-12-17,0.0996880754828453
1986-12-18,0.1004839763045311
1986-12-19,0.1028699353337287
1986-12-22,0.1039304733276367
1986-12-23,0.1049908623099327
1986-12-24,0.1047257706522941
1986-12-26,0.1044606566429138
1986-12-29,0.1002188622951507
1986-12-30,0.1012793108820915
1986-12-31,0.102339781820774
1987-01-02,0.1012793108820915
1987-01-05,0.107111781835556
1987-01-06,0.1087024137377739
1987-01-07,0.1145354732871055
1987-01-08,0.1182470619678497
1987-01-09,0.1230196356773376
